No.,Urusan/Instansi,Jumlah,%
1,Badan Kesatuan Bangsa dan Politik Kab. Belu,21,0.53
2,Badan Penanggulangan Bencana Daerah Kab. Belu,18,0.45
3,Badan Pendapatan Daerah Kab. Belu,41,1.03
4,Badan Pengelola Perbatasan Daerah Kab. Belu,19,0.48
5,Badan Pengelolaan Keuangan dan Aset Daerah Kab. Belu,46,1.15
6,"Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Daerah Kab. Belu",35,0.88
7,Bagian Administrasi Pembangunan Setda Belu,8,0.2
8,Bagian Hukum Setda Belu,11,0.28
9,Bagian Kesejahteraan Rakyat Setda Belu,10,0.25
10,Bagian Organisasi Setda Belu,12,0.3
11,Bagian Pemerintahan Setda Belu,10,0.25
12,Bagian Pengadaan Barang dan Jasa Setda Belu,8,0.2
13,Bagian Perekonomian dan Sumber Daya Alam Setda Belu,9,0.23
14,Bagian Protokol dan Komunikasi Pimpinan Setda Belu,8,0.2
15,Bagian Umum Setda Belu,30,0.75
16,BKPSDMD Kab. Belu,43,1.08
17,BNN Kab. Belu,11,0.28
18,Dinas Kepemudaan dan Olahraga Kab. Belu,19,0.48
19,Dinas Kependudukan dan Pencatatan Sipil Kab. Belu,25,0.63
20,Dinas Kesehatan Kab. Belu,207,5.19
21,Dinas Ketenagakerjaan dan Transmigrasi Kab. Belu,33,0.83
22,Dinas Komunikasi dan Informatika Kab. Belu,20,0.5
23,"Dinas Koperasi, UK dan M Kab. Belu",20,0.5
24,Dinas Lingkungan Hidup Kab. Belu,28,0.7
25,Dinas Pariwisata Kab. Belu,24,0.6
26,Dinas Pekerjaan Umum dan Perumahan Rakyat Kab. Belu,142,3.56
27,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Kab. Belu,23,0.58
28,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Kab. Belu,28,0.7
29,Dinas Pendidikan dan Kebudayaan Kab. Belu,121,3.04
30,Dinas Pengendalian Penduduk dan KB Kab. Belu,24,0.6
31,Dinas Perdagangan dan Perindustrian Kab. Belu,34,0.85
32,Dinas Perhubungan Kab. Belu,31,0.78
33,Dinas Perikanan Kab. Belu,20,0.5
34,Dinas Perpustakaan dan Kearsipan Kab. Belu,25,0.63
35,Dinas Pertanian dan Ketahanan Pangan Kab. Belu,97,2.43
36,Dinas Perumahan Rakyat dan Kawasan Permukiman Kab. Belu,1,0.03
37,Dinas Peternakan dan Kesehatan Hewan Kab. Belu,53,1.33
38,Dinas PMD Kab. Belu,30,0.75
39,Dinas Sosial Kab. Belu,27,0.68
40,Inspektorat Kab. Belu,47,1.18
41,Kecamatan Atambua Barat,10,0.25
42,Kecamatan Atambua Selatan,13,0.33
43,Kecamatan Kakuluk Mesak,23,0.58
44,Kecamatan Kota Atambua,14,0.35
45,Kecamatan Lamaknen,17,0.43
46,Kecamatan Lamaknen Selatan,14,0.35
47,Kecamatan Lasiolat,13,0.33
48,Kecamatan Nanaet Duabesi,12,0.3
49,Kecamatan Raihat,15,0.38
50,Kecamatan Raimanuk,18,0.45
51,Kecamatan Tasifeto Barat,21,0.53
52,Kecamatan Tasifeto Timur,24,0.6
53,Kelurahan Atambua,7,0.18
54,Kelurahan Bardao,6,0.15
55,Kelurahan Beirafu,6,0.15
56,Kelurahan Fatubenao,8,0.2
57,Kelurahan Fatukbot,11,0.28
58,Kelurahan Lidak,7,0.18
59,Kelurahan Manuaman,9,0.23
60,Kelurahan Manumutin,11,0.28
61,Kelurahan Rinbesi,5,0.13
62,Kelurahan Tenukiik,12,0.3
63,Kelurahan Tulamalae,10,0.25
64,Kelurahan Umanen,6,0.15
65,RSUD Atambua,275,6.9
66,Satpol PP Kab. Belu,61,1.53
67,Sekretariat Bawaslu,5,0.13
68,Sekretariat Daerah,3,0.08
69,Sekretariat DPRD,27,0.68
70,Sekretariat KPUD,9,0.23
71,Guru se- Kab. Belu,1570,39.4
72,Tenaga Kesehatan di Puskesmas,307,7.7
