Data Pegawai Berdasarkan Tingkat Pendidikan Formal di Kabupaten Belu Tahun 2020,,,,,,,,,
No.,Tingkat Pendidikan,Teknis,,,,Guru,,,
,,Jenis Kelamin,,Jumlah,%,Jenis Kelamin,,Jumlah,%
,,L,P,,,L,P,,
1,SD,66,2,68,1.71,,2,2,0.05
2,SLTP,37,6,43,1.08,,3,3,0.08
3,SLTA,510,276,786,19.72,232,259,491,12.32
4,D1,7,81,88,2.21,4,2,6,0.15
5,D2,8,4,12,0.3,51,91,142,3.56
6,D3,127,360,487,12.22,14,18,32,0.8
7,D4/S1,455,369,824,20.68,346,608,954,23.94
8,S2,23,22,45,1.13,2,,2,0.05
9,S3,,, - ,0,,, - ,0
TOTAL,,"1,233","1,120","2,353",59.05,649,983,"1,632",40.95
Sumber :  data BKPSDMD  Kab. Belu 2020,,,,,,,,,
