NO,KLASIFIKASI,NAMA OPD,NOMOR ID INTERNET,KAPASITAS (Kbps)
1,DINAS,DINAS KOMUNIKASI DAN INFROMATIKA,172521204743,"909,090"
2,DINAS,"DINAS SOSIAL, PEMBERDAYAN MASYARAKAT DAN DESA",3892513958,"1,200,000"
3,DINAS,DINAS PERINDUSTRIAN DAN PERDAGANGAN,3892513089,"971,530"
4,DINAS,DINAS PERPUSTAKAAN DAN KEARSIPAN,17252121004,"1,414,700"
5,DINAS,DPMPTSP,172521211446,"3,753,750"
,,,172521211886,
,,,172521211885,
6,DINAS,DINAS PUPR,3892340127,"3,182,100"
7,DINAS,DINAS PARIWISATA DAN KEBUDAYAAN,3892513235,"779,500"
8,DINAS,"DINAS KOPERASI, TENAGA KERJA DAN TRANSMIGRASI",172521211067,"707,350"
9,DINAS,DINAS PETERNAKAN DAN PERIKANAN,,
,,SEKRETARIAT,172521204636,"2,316,298"
,,Bidang Kesehatan Hewan,172521211846,
,,Bidang Perikanan,172521211413,
10,DINAS,"DINAS PENDIDIKAN, KEPEMUDAAN DAN OLAHRAGA",,"1,710,200"
,,,172521204836,
,,,172521210995,
,,,172521208314,
11,DINAS,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA",172521206293,"1,317,500"
,,BKKBN,3892513597,"604,950"
,,DP3AP2KB,172521204753,"711,788"
12,DINAS,DINAS PERTANIAN DAN KETAHANAN PANGAN,,
,,UMUM,3892513211,"578,000"
,,KEUANGAN,172521212389,"405,000"
13,DINAS,DINAS KESEHATAN,172521206600,"620,770"
,,SEKRETARIAT,172521204815,"535,300"
,,KEUANGAN,3892513695,"704,850"
14,DINAS,DINAS LINGKUNGAN HIDUP DAN PERHUBUNGAN,172521209885,"1,350,000"
15,DINAS,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL,3892513633,"1,567,600"
16,BADAN,BKPSDMD,3892513506,"884,450"
17,BADAN,KESBANGPOL,3892513896,"939,350"
18,BADAN,BAPENDA,172521204888,"912,700"
19,BADAN,BPBD,172521204886,"600,000"
20,BADAN,BP4D,172521209094,"1,315,350"
21,BADAN,BPKAD,3892513526,"1,628,650"
22,BADAN,BADAN PENGELOLA PERBATASAN,172521209318,"529,750"
23,KANTOR,SATPOL PP,172521211148,"990,000"
24,INSPEKTORAT,INSPEKTORAT,3892513380,"1,267,200"
25,SEKRETARIAT,SEKRETARIAT DPRD,172521210561,"3,311,900"
,,,172521207156,
,,,172521209005,
,,,172521210455,
,,,172521204720,
,,,172521204718,
26,BAGIAN,BAGIAN PENGADAAN BARANG DAN JASA SETDA BELU,172521204841,"729,550"
27,BAGIAN,BAGIAN KESEJAHTERAAN RAKYAT SETDA BELU,172521211880,"600,000"
28,BAGIAN,BAGIAN HUKUM SETDA BELU,172521204745,"300,000"
29,BAGIAN,BAGIAN UMUM SETDA BELU,-,
,,1. RUANGAN BAGIAN UMUM,38921512,"670,887"
,,2. RUANG KERJA BUPATI BELU,38921001,"929,850"
,,3. RUANG KERJA WAKIL BUPATI,172521204746,"1,033,857"
,,4. RUANG KERJA SEKDA,172521204740,"1,137,420"
,,5. RUANGKERJA ASISTEN 1,172521204739,"463,650"
,,6. RUANGKERJA ASISTEN 2,172521204741,"609,837"
,,7. RUANG STAF AHLI,172521204342,"88,137"
,,8. RUMAH JABATAN BUPATI,172521204633,"788,880"
,,9. RUMAH JABATAN WAKIL BUPATI,172521208969,"385,950"
,,10. GEDUNG BETELALENOK,172521209984,"397,050"
30,BAGIAN,BAGIAN PROTOKOL DAN KOMUNIKASI PIMPINAN SETDA BELI,38922049,"943,670"
31,BAGIAN,BAGIAN ORGANISASI,172521211157,"580,000"
32,BAGIAN,BAGIAN ADMINISTRASI PEMBANGUNAN SETDA BELU,3892513780,"460,000"
33,BAGIAN,BAGIAN PEMERINTAHAN SETDA BELU,172521204749,"429,850"
34,BAGIAN,BAGIAN PEREKONOMIAN DAN SUMBER DAYA ALAM SETDA BELU,172521211110,"588,192"
35,KECAMATAN,KECAMATAN KOTA ATAMBUA,3892513943,"535,300"
36,KELURAHAN,KELURAHAN TENUKIK,3892513512,"550,000"
37,KELURAHAN,KELURAHAN KOTA,172521211459,"446,500"
38,KELURAHAN,KELURAHAN FATUBENAO,172521210805,"455,000"
39,KELURAHAN,KELURAHAN MANUMUTIN,172521207628,"435,000"
40,KECAMATAN,KECAMATAN ATAMBUA BARAT,172521209349,"413,200"
41,KELURAHAN,KELURAHAN TULAMALAE,172521204783,"357,700"
42,KELURAHAN,KELURAHAN BEIRAFU,172521204828,"438,449"
43,KELURAHAN,KELURAHAN BARDAO,172521211065,"485,350"
44,KELURAHAN,KELURAHAN UMANEN,,
45,KECAMATAN,KECAMATAN ATAMBUA SELATAN,,
46,KELURAHAN,KELURAHAN FATUKBOT,172521210793,"491,000"
47,KELURAHAN,KELURAHAN MANUAMAN,172521210429,"335,500"
48,KELURAHAN,KELURAHAN RINBESI,172521211391,"324,400"
49,KELURAHAN,KELURAHAN LIDAK,172521208253,"379,900"
,,,,
,,,,
