JUMLAH SARANA PRASARANA (ASET),,,,,,,,,,,,,,
KARTU INVENTARIS BARANG (KIB B) PERALATAN DAN MESIN,,,,,,,,,,,,,,
Nomor,Kode Barang,Jenis Barang,Nomor Register,Merk/Type,Ukuran/CC,Bahan,Tahun Pembelian,Nomor Pabrik,,,,Asal usul,Harga (ribuanRp),Keterangan
,,,,,,,,Rangka,Mesin,Polisi,BPKB,,,
1,02.03.01.01.003,STAION WAGON,2,SUZUKI/CARY,,,2000,MHYEGSL4158J501,G15AID706787,DH 115 YG,,PEMBELIAN,"45,000.00","DOMINIKUS MALI, S.Sos DH 1102 WF"
2,02.06.02.01.006,KURSI KAYU/ROTAN/BAMBU,0005 s/d 0003,,,KAYU/ROTAN,2000,,,,,PEMBELIAN,516.75,
3,02.06.02.01.006,KURSI KAYU/ROTAN/BAMBU,0009 s/d 0008,KAYU,,KAYU,2001,,,,,PEMBELIAN,346.5,
4,02.06.02.01.048,MEJA BIRO,11,,,KAYU,2001,,,,,PEMBELIAN,347,
5,02.06.02.01.006,KURSI KAYU/ROTAN/BAMBU,4,,,,2002,,,,,PEMBELIAN,174,
6,02.06.02.01.006,KURSI KAYU/ROTAN/BAMBU,0007 s/d 0006,KAYU,,,2002,,,,,PEMBELIAN,348.8,
7,02.06.02.01.048,MEJA BIRO,0010 s/d 0004,KAYU,,,2002,,,,,PEMBELIAN,"2,945.33",
8,02.06.01.04.014,LEMARI KAYU,1,,,,2004,,,,,PEMBELIAN,531.8,
9,02.06.02.01.030,KURSI PUTAR,1,,,,2004,,,,,PEMBELIAN,275,
10,02.06.02.01.048,MEJA BIRO,5,,,,2004,,,,,PEMBELIAN,353,
11,02.03.01.05.001,SEPEDA MOTOR,2,HONDA/GL MAX II,100,,2005,MH1UABE105K113335,UABEE-1112817,DH550EF,,PEMBELIAN,"11,800.00",Selfester Medah (Plat Nomor Baru 2772WF)
12,02.06.02.06.049,HANDY CAM,1,,,,2005,,,,,PEMBELIAN,"3,160.00",
13,02.06.01.05.010,WHITE BOARD,1,,,,2006,,,,,PEMBELIAN,716,
14,02.06.02.01.073,KARPET,1,,,KAIN BULU,2006,,,,,PEMBELIAN,198.67,
15,02.06.02.01.073,KARPET,2,,,KAIN BULU,2006,,,,,PEMBELIAN,198.67,
16,02.06.02.01.073,KARPET,3,,,KAIN BULU,2006,,,,,PEMBELIAN,198.67,
17,02.06.02.02.003,JAM ELEKTRONIK,1,,,,2006,,,,,PEMBELIAN,159,
18,02.06.02.06.003,TELEVISI,0001 s/d 0002,,,,2006,,,,,PEMBELIAN,"3,180.00",
19,02.07.03.03.004,ALAT PEMANCAR VHF/FM LAIN-LAIN,1,,,,2006,,,,,PEMBELIAN,"5,565.00",
20,02.03.01.05.001,SEPEDA MOTOR,1,SUZUKI/SHOGUN,,,2007,MHBFD110X13-569942,E109-ID-571702,DH 552 BE,,PEMBELIAN,"11,700.00","HERNAN NAHAK BRIA, DH 6131 WF"
21,02.03.01.05.001,SEPEDA MOTOR,3,SUZUKI/SHOGUN,110,,2007,MHBFD125R7J193639,F404ID193516,DH 565 AE,E 6201220,PEMBELIAN,"13,000.00",FIRDAUS DH 6132 WF
22,02.03.01.05.001,SEPEDA MOTOR,4,SUZUKI/ THUNDER,125,,2007,MHBEN125A-7J386733,F405-ID-386588,DH 439 CE,E 6201221,PEMBELIAN,"12,900.00","HENDRIKUS MAO, DH 3126 WF"
23,02.03.01.05.001,SEPEDA MOTOR,5,SUZUKI THUNDER,125,,2007,MHBEN125A-7J393919,7405ID394145,DH 440 CE,E 6201222 0,PEMBELIAN,"12,900.00","JOSE MAIA, DH 3125 WF"
24,02.03.01.05.001,SEPEDA MOTOR,6,SUZUKI THUNDER,125,,2007,MHBEN125A7J-400365,405-ID-400237,DH 445 CE,,PEMBELIAN,"12,900.00",AGUSTINUS H. LUAN DH 3127 WF
25,02.03.01.05.001,SEPEDA MOTOR,7,SUZUKI THUNDER,125,,2007,MHBEN125A7J387073,F405-ID-386019,DH 446 CE,,PEMBELIAN,"12,900.00","KORNELIS NAHAK MESAK, SH DH 3124 WF"
26,02.06.01.04.014,LEMARI KAYU,2,,,,2007,,,,,PEMBELIAN,440,
27,02.06.02.01.030,KURSI PUTAR,0002 s/d 0004,,,,2007,,,,,PEMBELIAN,840,
28,02.06.02.06.049,HANDY CAM,2,SONY,,,2007,,,,,PEMBELIAN,"3,200.00",
29,02.06.03.02.001,P.C UNIT/KOMPUTER PC,19,,,,2007,,,,,PEMBELIAN,"14,400.00",
30,02.06.03.02.002,LAP TOP,0011 s/d 0012,,,,2007,,,,,PEMBELIAN,"28,000.00",
31,02.06.03.06.001,SERVER,1,,,,2007,,,,,PEMBELIAN,"20,000.00",
32,02.06.03.06.006,PERALATAN JARINGAN LAIN-LAIN,1,,,,2007,,,,,PEMBELIAN,"270,000.00",
33,02.04.02.04.005,TRIPOT,1,,,,2008,,,,,PEMBELIAN,"2,500.00",
34,02.06.02.06.012,WIRELESS,1,,,,2008,,,,,PEMBELIAN,"59,607.85",
35,02.06.02.07.019,LAMPU SOROT,1,,,,2008,,,,,PEMBELIAN,"5,000.00",
36,02.07.01.01.026,TELEPHON HYBRID,1,,,,2008,,,,,PEMBELIAN,"20,000.00",
37,02.07.01.01.064,POWER APLIFIER,1,,,,2008,,,,,PEMBELIAN,"7,500.00",
39,02.06.02.06.015,MICROPHONE FLOOR STAND,1,,,,2009,,,,,PEMBELIAN,"8,500.00",
40,02.07.01.01.001,CAMERA + ATTACHMENT,5,,,,2009,,,,,PEMBELIAN,"15,000.00",
41,02.07.01.01.003,PROYEKTOR + ATTACHMENT,2,,,,2009,,,,,PEMBELIAN,"15,000.00",INFOCUS
42,02.06.02.06.012,WIRELESS,2,,,,2010,,,,,PEMBELIAN,"1,500.00",
43,02.07.01.01.043,MICROPHONE FLOOR STAND,1,,,,2010,,,,,PEMBELIAN,"5,600.00",
44,02.07.01.01.082,PERALATAN STUDIO VISUAL LAIN-LAIN,2,,,,2010,,,,,PEMBELIAN,"245,950.00",PERALATAN STUDIO TV
45,02.07.01.01.082,PERALATAN STUDIO VISUAL LAIN-LAIN,3,,,,2010,,,,,PEMBELIAN,"20,000.00",POWER MIXER AUDIO
46,02.03.01.01.003,STAION WAGON,4,DAIHATSU/T-RIOS,1500,CAMPURAN,2011,MHKG2CJ1JBK015165,DCE4741,DH 963 AE,H-06447598,PEMBELIAN,"269,355.00",SEKRETARIAT DH 1071)MUTASI DARI DPMD
47,"02.06.02,01.006",KURSI KAYU/ROTAN/BAMBU,0010 s/d 0023,PLASTIK,,,2012,,,,,PEMBELIAN,03:00.0,KURSI PLASTIK
48,02.06.02.06.008,SOUND SYSTEM,0001 s/d 0002,,,,2012,,,,,PEMBELIAN,"49,940.00",
49,02.06.02.06.049,HANDY CAM,0003 s/d 0005,SONY,,,2012,,,,,PEMBELIAN,"14,850.00",
50,02.06.03.02.001,P.C UNIT/KOMPUTER PC,0020 s/d 0021,,,,2012,,,,,PEMBELIAN,"35,860.00",
51,02.06.03.06.009,ANTENE,1,ELECT,,,2013,,,,,PEMBELIAN,"5,973.00",
52,02.07.01.01.001,CAMERA + ATTACHMENT,4,,,,2013,,,,,PEMBELIAN,"63,800.00",KAMERA BELU TV
53,02.07.01.01.082,PERALATAN STUDIO VISUAL LAIN-LAIN,1,,,,2013,,,,,PEMBELIAN,"228,358.00",PERALATAN STUDIO
54,02.07.02.02.004,ALAT KOMUNIKASI RADIO SSB LAIN-LAIN,0001 s/d 0005,ELECT,,,2013,,,,,PEMBELIAN,"154,726.00",
55,02.09.01.19.006,POWER SUPLAY,1,ELECT,,,2013,,,,,PEMBELIAN,"1,485.00",
56,02.09.08.15.006,LAIN-LAIN,1,ELECT,,,2013,,,,,PEMBELIAN,"2,453.00",INVERTER
57,02.03.01.05.001,SEPEDA MOTOR,12,YAMAHA/VIXION,,BENSIN,2014,,,DH 2522 WF,,PEMBELIAN,"24,928.70","MARIOCARLOS BELE BAU, DH 2522 WF"
58,02.06.02.06.005,AMPLIFIER,1,,,,2016,,,,,PEMBELIAN,"9,999.83",
59,02.06.02.06.007,LOUDSPEAKER,1,,,,2016,,,,,PEMBELIAN,"9,999.00",
60,02.06.02.06.021,CAMERA VIDEO,2,,,,2016,,,,,PEMBELIAN,"69,850.00",
61,02.06.03.02.001,P.C UNIT/KOMPUTER PC,0001 s/d 0002,PHILIPS/-,,PLASTIK,2016,,,,,PEMBELIAN,"14,968.20",
62,02.06.03.02.001,P.C UNIT/KOMPUTER PC,3,LG/-,,PLASTIK,2016,,,,,PEMBELIAN,"7,484.10",
